cadireta
cadcont,cadpai,cadfilho,cadstatus,cadsuscad,cadpainome,cadfilnome,cadpaium,cadfilum,caduso,cadcomp,cadlarg,cadesp,cadpeso,cadfase,cadgrav,cadhora,cadimpdt,cadimphr,cadusuimp,cadlocal,cadgrpai,cadsgpai,cadsgrfil,cadsgfil,cadoriemb,cadproj,cadarquivo,cadcobr,cadlabr,cadesbr,cadclass,cadplcor,cadusamed,cadborint,cadbordsup,cadbordinf,cadboresq,cadbordir,cadpaiarea,cadtpfil,cadpembpr,cadpembpp,cadindter,caddimper,cadapp,cadmatricula
6,"P""_""5","F""_""33",N,IMP3CAD,Bancada Base,BAS INTERMEDIARIA,UN,UN,1.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:11,1774234800000,,,,400,1,400,2,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
6,"P""_""5","F""_""34",N,IMP3CAD,Bancada Base,BAS INTERMEDIARIA,UN,UN,1.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:11,1774234800000,,,,400,1,400,2,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
6,"P""_""5","F""_""35",N,IMP3CAD,Bancada Base,BAS SUP,UN,UN,1.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:12,1774234800000,,,,400,1,400,2,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
6,"P""_""5","F""_""36",N,IMP3CAD,Bancada Base,FUNDO,UN,UN,1.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:12,1774234800000,,,,400,1,400,2,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
6,"P""_""5","F""_""37",N,IMP3CAD,Bancada Base,LAT DIR,UN,UN,1.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:12,1774234800000,,,,400,1,400,2,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
6,"P""_""5","F""_""38",N,IMP3CAD,Bancada Base,LAT ESQ,UN,UN,1.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:12,1774234800000,,,,400,1,400,2,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
1,5.8.1124,"P""_""6",N,IMP3CAD,ARMARIO 18MM BRANCO TX COZINHA      {RT16},Bancada Base,UN,UN,1.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:12,1774234800000,,,,500,8,400,1,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
7,"P""_""6","F""_""39",N,IMP3CAD,Bancada Base,TAMBOR MINIFIX 15MM                               ,UN,UN,4.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:12,1774234800000,,,,400,1,100,4,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
7,"P""_""6","F""_""40",N,IMP3CAD,Bancada Base,PARAFUSO MINIFIX 6.3MM ZAMAC                      ,UN,UN,4.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:12,1774234800000,,,,400,1,100,4,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
7,"P""_""6","F""_""41",N,IMP3CAD,Bancada Base,KIT PE,UN,UN,4.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:13,1774234800000,,,,400,1,400,2,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
